,Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy,label_barrier
35,LaSbO3/BiSbO3,1.216,1.24,0.024,0.375121512,0.020727239,0.545921892,12.47113075,14.08882135,0.8399,1.4016,1.16537,0.00593,0.0,32.46285,2.07243,-145.771819,0
36,LaSbO3/NdSbO3,1.216,1.163,0.053,0.394775493,0.020556156,0.543712703,11.64519807,13.53815782,1.1585,1.5937,0.35108,0.06669,0.0,38.742854,1.94512,-141.138908,0
37,LaTlO3/BiTlO3,1.216,1.24,0.024,0.375121512,0.025342501,0.541706375,12.05887467,12.44721112,1.38982,2.103585,0.26845,0.09031,0.0,50.73983,2.30205,-136.886197,0
38,LaTlO3/CeTlO3,1.216,1.196,0.02,0.380493437,0.024080229,0.54383497,12.72922484,13.98438617,1.89668,2.34758,0.87254,0.05997,0.0,60.948611,1.29212,-149.92954,0
39,LaTlO3/PrTlO3,1.216,1.179,0.037,0.387804312,0.043285306,0.064729544,16.05817417,12.35194289,2.08246,2.38811,0.79508,0.0727,0.0,62.514946,1.54128,-138.593517,0
40,LaTmO3/BiTmO3,1.216,1.24,0.024,0.375121512,0.042109246,0.060944878,16.57642584,11.83111403,1.35855,2.01937,0.39593,0.06241,0.0,49.658949,2.17446,-139.731616,0
41,LaTmO3/CeTmO3,1.216,1.196,0.02,0.380493437,0.043797553,0.06637758,15.97725938,12.56033856,1.85218,2.30316,0.72768,0.01246,0.0,58.071863,2.22151,-139.83917,0
42,LaTmO3/PrTmO3,1.216,1.179,0.037,0.387804312,0.044987548,0.071357243,15.3416827,13.28270549,1.90674,2.34911,0.52548,0.03637,0.0,61.041868,1.57464,-141.977083,0
43,LaYbO3/BiYbO3,1.216,1.24,0.024,0.375121512,0.039943523,0.040945732,20.1465597,11.97663893,1.31041,1.93158,0.30896,0.00548,0.0,47.626684,1.4985,-139.074808,0
44,LaYbO3/CeYbO3,1.216,1.196,0.02,0.380493437,0.062072188,0.086550731,14.45488472,16.06797399,1.4125,2.1122,0.26701,0.00387,0.0,50.870408,1.4905,-134.2124,0
45,LaYbO3/NdYbO3,1.216,1.163,0.053,0.394775493,0.076522767,0.066072054,23.07806672,19.91722458,1.88114,2.30912,0.28545,0.07555,0.0,58.827252,1.2982,-136.3656428,0
46,LaYbO3/PrYbO3,1.216,1.179,0.037,0.387804312,0.068695962,0.088684156,23.82545287,22.07609516,1.56389,2.25728,0.15012,0.11766,0.0,54.985964,1.4262,-114.6497462,0
47,NdCeO3/EuCeO3,1.35,1.3,0.05,0.373565847,0.041528823,0.051618986,22.52795127,21.83484934,1.1485,1.5566,0.4571,0.04441,0.0,37.76594,1.6502,-115.0911651,0
48,NdCeO3/PbCeO3,1.35,1.35,0.0,0.353553391,0.068736774,0.088002474,24.70953917,21.65308271,0.93819,1.4749,0.5653,0.07531,0.0,35.2758,1.4366,-129.5813007,0
49,NdCeO3/SmCeO3,1.35,1.32,0.03,0.365470921,0.054283649,0.567162131,22.39828597,18.60208419,1.117,1.5281,0.63074,0.0956,0.0,36.8711,1.2764,-133.82239,0
50,NdPrO3/EuPrO3,1.35,1.3,0.05,0.373565847,0.050404459,0.562387984,20.33173682,18.27540707,0.9504,1.5032,0.4562,0.0839,0.0,35.5124,1.77348,-160.121415,0
51,NdPrO3/PbPrO3,1.35,1.35,0.0,0.353553391,0.053314361,0.565199713,22.5004675,16.81570695,0.8075,1.3818,0.53848,0.0622,0.0,31.0533387,2.20868,-161.601814,0
52,NdPrO3/SmPrO3,1.35,1.32,0.03,0.365470921,0.049516798,0.56053121,21.70151678,16.7316515,0.8721,1.4432,0.4206,0.0622,0.0,33.3422,2.47104,-138.813947,0
53,NdTeO3/EuTeO3,1.35,1.3,0.05,0.373565847,0.045201065,0.561492351,21.0093358,16.59688032,1.394745,2.10591,0.38843,0.07068,0.0,50.73983,1.313,-145.473722,0
54,NdTeO3/PbTeO3,1.35,1.35,0.0,0.353553391,0.047665698,0.55641631,19.72236632,15.3991725,1.30476,1.93158,0.5381,2.0955,0.0,47.155433,1.78631,-154.666114,0
55,NdTeO3/SmTeO3,1.35,1.32,0.03,0.365470921,0.046353007,0.558034954,20.59117974,16.47650328,1.35108,1.98694,0.174,0.04154,0.0,49.262573,2.3472,-150.045767,0
56,SrCeO3/EuCeO3,1.31,1.3,0.01,0.362892537,0.045119625,0.559779033,20.81062632,16.00581669,1.2021,1.6628,1.66447,0.0622,0.0,40.35244,7.5484,-149.2526147,0
57,SrCeO3/NdCeO3,1.31,1.35,0.04,0.364029047,0.050091377,0.556775549,19.07443943,15.69876367,1.1382,1.5403,1.44552,0.0604,0.0,37.024007,7.5762,-151.429592,0
58,SrCeO3/PbCeO3,1.31,1.35,0.04,0.364029047,0.048132515,0.556389921,19.36615749,15.22350781,1.1382,1.53996,0.29658,0.04472,0.0,36.973423,7.5692,-156.223412,0
59,SrCeO3/SmCeO3,1.31,1.32,0.01,0.360174241,0.046508355,0.558364402,20.63752921,16.23673723,1.1694,1.62855,0.58094,0.04331,0.0,39.613298,7.4164,-164.721777,0
60,SrPrO3/EuPrO3,1.31,1.3,0.01,0.362892537,0.057614053,0.053262997,20.10941666,14.18735114,1.1396,1.5425,0.25479,0.05494,0.0,37.66564279,7.5961,-132.7705,0
61,SrPrO3/NdPrO3,1.31,1.35,0.04,0.364029047,0.074256485,0.058819562,24.47681605,17.97123924,0.9283,1.4605,0.04243,0.01007,0.0,34.09897,7.5377,-131.14816,0
62,SrPrO3/PbPrO3,1.31,1.35,0.04,0.364029047,0.012212458,0.538429568,5.89851961,14.22077317,0.8857,1.4575,0.03648,0.01651,0.0,33.98467,7.5762,-140.682383,0
63,SrPrO3/SmPrO3,1.31,1.32,0.01,0.360174241,0.014164036,0.535225414,5.012586787,13.93945576,1.03383,1.5153,0.02326,0.00911,0.0,36.1407,2.14897,-147.662418,0
64,SrTeO3/BaTeO3,1.31,1.47,0.16,0.378628099,0.015439491,0.539929638,8.552683868,13.76615694,1.2236,1.7098,0.24832,0.0479,0.0,41.844749,1.5945,-142.375421,0
65,SrTeO3/EuTeO3,1.31,1.3,0.01,0.362892537,0.015239438,0.540440788,10.74831739,13.0206319,1.88479,2.30966,0.081665,0.0567,0.0,58.839129,1.2878,-153.158118,0
66,SrTeO3/NdTeO3,1.31,1.35,0.04,0.364029047,0.013055483,0.533550846,6.365437415,12.56073745,1.3724,2.0602,0.211725,0.1688,0.0,50.5526147,1.2341,-145.676002,0
67,SrTeO3/PbTeO3,1.31,1.35,0.04,0.364029047,0.012056797,0.532059238,6.186139602,12.3367967,1.36938,2.05641,0.263035,0.0597,0.0,50.28173,1.1202,-151.203142,0
68,SrTeO3/SmTeO3,1.31,1.32,0.01,0.360174241,0.019895987,0.548881785,12.03075494,15.86568743,1.4982,2.23362,0.181845,0.0655,0.0,54.251869,1.2415,-159.91859,0
69,YSbO3/DySbO3,1.075,1.083,0.008,0.394677768,0.009897398,0.536460696,7.781208342,13.03941527,1.4567,2.17407,0.17845,0.1663,0.0,51.666057,1.8114,-138.313298,0
70,YSbO3/ErSbO3,1.075,1.062,0.013,0.399579827,0.047521575,0.009631247,13.48782924,13.5202098,1.7491,2.29587,0.0956,0.0845,0.0,57.519431,2.32658,-140.125593,0
71,YSbO3/EuSbO3,1.075,1.12,0.045,0.399357878,0.05907513,0.052504965,19.83293368,13.10361585,1.32483,1.95386,0.17295,0.0722,0.0,47.994079,2.40375,-138.932353,0
72,YSbO3/GdSbO3,1.075,1.107,0.032,0.397729577,0.068933932,0.060185829,23.51353466,13.68766495,1.352,1.99853,0.19905,0.0475,0.0,49.475851,1.065855,-140.96583,0
73,YSbO3/HoSbO3,1.075,1.072,0.003,0.395010518,0.038811641,0.060218887,14.61040589,11.19436448,1.50649,2.2371,0.16865,0.0651,0.0,54.505256,1.218265,-139.132734,0
74,YSbO3/TbSbO3,1.075,1.095,0.02,0.396211162,0.029291795,0.065509334,12.64878906,9.806546435,1.3798,2.0846,0.1754,0.25589,0.0,50.683296,0.00105,-139.166269,0
75,YScO3/DyScO3,1.075,1.083,0.008,0.394677768,0.023141312,0.052027881,11.89451014,8.393664412,1.32548,1.96982,0.0617,0.1044,0.0,48.066877,0.74377,-139.126709,0
76,YScO3/ErScO3,1.075,1.062,0.013,0.399579827,0.024589815,0.054020592,27.87440771,10.76568212,1.3795,2.062,0.27535,0.0457,0.0,50.679287,0.660395,-121.27,0
77,YScO3/HoScO3,1.075,1.072,0.003,0.395010518,0.028190557,0.063060998,12.55129192,9.702861827,1.35343,2.0039,0.04472,0.03009,0.0,49.64078,0.4113,-135.8506246,0
78,YScO3/TbScO3,1.075,1.095,0.02,0.396211162,0.079240832,0.061048322,24.20720917,17.53136465,1.31453,1.94784,0.17314,0.23645,0.0,47.720026,0.66916,-140.578768,0
