Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy
NaSmVRuO6,1.18,1.079,0.101,0.872406004,0.052118782,0.072050718,26.85628673,16.24357832,1.04347,1.35635,0.32252,0,0.02171,28.2968519,0.42292,-141.4842595
NaTmCrZrO6,1.18,0.994,0.186,0.840721703,0.040860244,0.066301898,25.21198817,15.22582698,1.05874,1.60073,0.40236,0,0.07249,30.627744,0.39445,-153.13872
NaYCoOsO6,1.18,1.019,0.161,0.868330657,0.048238941,0.072630887,27.20441437,14.97752934,1.07435,1.42837,0.29755,0,0.02377,27.8145296,0.39628,-139.072648
NaYCoReO6,1.18,1.019,0.161,0.867243885,0.041101494,0.069572422,26.81365663,14.00942003,1.35259,1.05909,0.67575,0,0.0332,29.154078,0.84886,-145.77039
NaYCoWO6,1.18,1.019,0.161,0.856523936,0.039094563,0.069646965,26.05576435,13.8034137,1.36691,1.03958,0.88092,0,0.04614,31.0489436,0.46679,-155.244718
NaYCrReO6,1.18,1.019,0.161,0.855466499,0.03751741,0.064056128,24.83826791,12.72926989,1.65384,1.63072,0.54532,0,0.07723,31.0308264,0.61161,-155.154132
NaYCrWO6,1.18,1.019,0.161,0.845033981,0.042704182,0.067165907,24.60051812,16.45022671,1.38636,1.13448,0.50964,0,0.01565,32.639398,0.58279,-163.19699
NaYFeOsO6,1.18,1.019,0.161,0.860779956,0.039016307,0.065437889,25.82345821,14.00142726,2.3413,1.10263,0.71992,0,0.02919,28.61609,0.63939,-143.08045
NaYFeOsO6,1.18,1.019,0.161,0.860779956,0.039016307,0.065437889,25.82345821,14.00142726,1.45886,1.03831,0.64429,0,0.02484,28.61609,0.07531,-143.08045
NaYFeReO6,1.18,1.019,0.161,0.85971199,0.037532096,0.067591244,26.93660171,14.4395016,1.4779,1.14291,0.72768,0,0.03637,29.8755188,0.0956,-149.377594
NaYMnReO6,1.18,1.019,0.161,0.821004578,0.039319142,0.07128249,28.85452105,15.03158949,1.4903,1.37184,0.27114,0,0.02326,30.7528636,0.12084,-153.764318
NaYNiOsO6,1.18,1.019,0.161,0.880467426,0.047108402,0.070476224,26.50012177,15.00234805,1.5201,1.37973,0.27522,0,0.02295,27.1684808,0.07723,-135.842404
NaYNiReO6,1.51,1.019,0.491,0.938583706,0.058721441,0.063207442,23.78043799,16.22362383,1.86383,1.16232,0.74153,0,0.04167,28.445248,0.0839,-142.22624
NaYVOsO6,1.18,1.019,0.161,0.891799053,0.039642609,0.064819492,23.16959838,12.18482178,1.90008,1.19708,0.55794,0,0.02983,30.2859184,0.0622,-151.429592
NaYVReO6,1.18,1.019,0.161,0.890652782,0.036599342,0.063951234,23.7412993,12.01894972,1.06655,1.5957,0.61745,0,0.09296,31.2446824,0.07068,-156.223412
NaYVWO6,1.18,1.019,0.161,0.879350081,0.038367675,0.067236744,24.23501149,13.66676059,1.21347,1.55621,0.46222,0,0.05338,32.9443554,2.0955,-164.721777
PbCaVMoO6,1.29,1.12,0.17,0.96369637,0.017473389,0.044400125,15.53540061,12.13929536,1.35975,1.9321,0.76918,0,0.4571,27.16832796,0.04154,-135.8416398
PbDyNiFeO6,1.29,1.027,0.263,0.879328506,0.018012709,0.091797039,22.924895,10.22205296,1.51038,1.62462,0.65325,0,0.5653,27.61154004,0.66897,-138.0577002
PbSmCoFeO6,1.29,1.079,0.211,0.876495264,0.018192636,0.069045635,18.23748239,11.71471217,1.5201,1.88888,0.74377,0,0.63074,26.59556246,0.5674,-132.9778123
PbTmCrFeO6,1.29,0.994,0.296,0.850362479,0.021189385,0.064040545,18.15667576,13.40995168,1.86383,1.63072,0.6604,0,0.54532,25.77598518,0.75634,-128.8799259
PbTmFeMoO6,1.29,0.994,0.296,0.853450963,0.016695375,0.088099878,21.99811471,8.816245531,1.90008,1.5292,0.4113,0,0.4424,27.4150164,1.08309,-137.075082
RbGdFeWO6,1.61,1.053,0.557,0.929604515,0.018782558,0.070044412,18.40873535,11.48959163,0.6434,1.5596,0.4166,0,0.4562,26.44845314,1.06852,-132.2422657
RbGdVWO6,1.61,1.053,0.557,0.962636148,0.024648705,0.069256571,20.62834557,14.32783985,0.6852,1.5596,0.4166,0,0.4562,25.02318764,0.73297,-125.1159382
RbSmMnWO6,1.61,1.079,0.531,0.977224096,0.017749571,0.050876022,13.83937295,12.66902269,0.6948,1.71131,0.66916,0,0.53848,26.22003936,0.61818,-131.1001968
RbTmCrReO6,1.61,0.994,0.616,0.926187857,0.019567975,0.065378157,19.55929971,3.987096749,0.5647,5.7337,2.45875,0,0.4206,29.7420194,0.08057,-148.710097
RbTmCrWO6,1.61,0.994,0.616,0.914892883,0.019694443,0.069130926,23.39218388,7.625102871,0.6664,1.45108,0.61474,0,0.38843,31.6029966,0.07305,-158.014983
RbTmNiWO6,1.61,0.994,0.616,0.940115494,0.01932332,0.066456586,22.17542413,6.090320616,0.611,1.5292,0.4113,0,0.4424,29.4341265,0.06644,-147.1706325
RbTmVReO6,1.61,0.994,0.616,0.964282987,0.022004227,0.067863296,18.73270437,4.141509999,1.45985,1.40874,0.84341,0,0.05081,29.9754576,1.08309,-149.877288
RbYCoOsO6,1.61,1.019,0.591,0.944546657,0.018952196,0.063782245,20.95866438,4.555538361,0.78593,1.9479,0.174,0,0.189,27.2652564,1.06852,-136.326282
RbYCrOsO6,1.61,1.019,0.591,0.931703624,0.013283748,0.052132893,15.97292481,4.121295194,0.9283,1.83497,0.34625,0,0.05965,29.3457324,0.35525,-146.728662
RbYCrReO6,1.61,1.019,0.591,0.930553373,0.017322046,0.059772663,20.22610434,4.197405023,0.80972,3.59239,1.53674,0,0.40452,30.3997942,0.61818,-151.998971
RbYCrWO6,1.61,1.019,0.591,0.919205161,0.019644673,0.069383307,23.64128642,4.527034289,0.74596,1.49014,0.51302,0,0.41542,32.1741658,5.30975,-160.870829
RbYNiOsO6,1.61,1.019,0.591,0.957748706,0.017098851,0.061015411,20.25002835,4.150239692,1.08389,1.45349,0.92704,0,0.06807,26.5950024,2.22151,-132.975012
RbYVOsO6,1.61,1.019,0.591,0.970074945,0.013988066,0.052571528,13.20706903,4.12364645,0.935,1.67832,0.50871,0,0.11991,29.6373284,1.57464,-148.186642
RbYVReO6,1.61,1.019,0.591,0.968828062,0.016780799,0.055646724,14.63133562,4.101206462,0.85406,1.66044,0.61115,0,0.07166,30.692648,0.56448,-153.46324
RbYVWO6,1.61,1.019,0.591,0.956533289,0.017072556,0.061349322,17.5334363,4.74191969,0.66361,1.64266,0.64512,0,0.09031,32.4257,5.5817,-162.1285
RbYVZrO6,1.61,1.019,0.591,0.956533289,0.015757442,0.059401626,18.13834131,4.202914666,1.03991,1.59292,0.79508,0,0.06241,31.8190096,5.2124,-159.095048
SrCaCrMoO6,1.26,1.12,0.14,0.865697585,0.047411482,0.069608313,25.72840243,16.34690252,1.7051,3.59239,1.53674,0,0.40452,30.46812496,5.2676,-152.3406248
SrCeVCrO6,1.26,0.97,0.29,0.922371149,0.039938276,0.065869894,25.51772319,14.61362712,0.8247,1.49014,0.51302,0,0.41542,29.621917,1.4985,-148.109585
SrHfNiCrO6,1.26,0.83,0.43,0.845830972,0.042885519,0.070111066,27.07050804,14.70851547,0.89295,1.46897,0.62736,0,0.24661,28.8450242,0.4425,-144.225121
SrHgVZrO6,1.26,1.14,0.12,0.710803495,0.040210318,0.070427456,27.83408884,14.52050476,1.47963,1.67832,0.50871,0,0.11991,29.9534708,1.4905,-149.767354
SrMgCrRuO6,1.26,0.89,0.37,0.832520839,0.043101482,0.070061595,26.27794306,14.40288088,1.49875,1.89144,0.26013,0,0.12433,29.1087122,0.43325,-145.543561
SrMgVZrO6,1.26,0.89,0.37,0.870554786,0.048119425,0.063631785,24.30935295,14.47644686,0.8146,2.71368,0.9415,0,0.23208,29.7380372,0.3655,-148.690186
SrSnCrRuO6,1.26,0.81,0.45,0.818788536,0.041173395,0.0659927,23.88505825,14.31752424,0.8303,2.54127,1.02488,0,0.40997,31.4626582,1.2982,-157.313291
SrSnFeMoO6,1.26,0.81,0.45,0.808970928,0.037807825,0.064694562,24.78237876,13.01018849,0.7571,1.47182,0.72003,0,0.24174,29.9303862,0.47305,-149.651931
